treatment company,azimuth,md (ft),tvd (ft),date on production,operator,footage lateral length,well spacing,porpoise deviation,porpoise count,shale footage,acoustic impedance,log permeability,porosity,poisson ratio,water saturation,toc,vcl,p-velocity,s-velocity,youngs modulus,isip,breakdown pressure,pump rate,total number of stages,proppant volume,proppant fluid ratio,production
treatment company 11,-37.889999,15270,7176,6/1/2016,operator 14,7821,2447.3274,13.85,4,5375,33738.99,1.19,0.04,0.31,,4.6,0.45,12357.1,6760.27,28.96,4918,,81,42,15963578,1.05,4844.717392
treatment company 29,,11798,6225,1/1/2012,operator 25,5457,3415.2183,12.15,7,0,30242.3,0.26,0.02,0.34,,4.68,0.61,13239.24,6958.72,30.94,3740,,90,13,,1.22,2222.904828
treatment company 10,-1.96,18194,6711,9/1/2017,operator 4,11233,1150.5063,11.16,8,2475,35171.06,1.37,0.02,0.21,,5.12,0.6,12929.03,7035.11,29.23,5258,,100,27,10814362,1.2,1460.060413
treatment company 1,-47.259998,14496,8703,7/1/2011,operator 20,5694,3116.7705,179.75,1,2658,35162.27,0.96,0.06,0.3,0.31,,0.76,12047.23,7083.68,32.11,5788,,92,14,5017538,1.23,1358.923866
treatment company 10,-52.880001,17227,7392,7/1/2013,operator 4,8806,2172.4915,30.43,17,0,34802.83,0.37,0.03,0.33,0.87,4.64,0.62,12946.97,7069.71,31.36,5605,,71,53,8107622,0.45,4097.528584
treatment company 10,-51.869999,22881,7557,6/1/2017,operator 11,15139,1561.5787,4.97,8,5609,34322.99,0.58,0.04,0.33,0.85,4.81,0.53,12693.31,7191.67,31.83,5386,,70,76,22758276,1.01,5857.975737
treatment company 10,-74.650002,8670,5413,1/1/2013,operator 22,2886.03,4305.4941,10.51,12,0,34872.9,0.45,0.02,0.33,0.79,4.73,0.6,13262.2,7026.82,31.1,4431,,86,16,4179952,1.04,809.1201721
treatment company 9,-25.35,15955,7011,6/1/2014,operator 5,8578,557.05194,1.2,8,4390,30402.17,0.05,0.02,0.34,0.88,4.66,0.67,13160.78,6912.23,30.8,4897,,78,39,9891606,0.91,2478.185802
treatment company 10,-74.199997,11294,6238,2/1/2015,operator 11,3818,1614.6127,24.58,15,4741,34833.46,0.63,0.01,0.33,,4.92,0.45,13484.58,6959.23,30.88,4392,,70,19,7460994,1.04,564.752037
treatment company 16,-58.34,17550,6803,8/1/2015,operator 13,9367,3730.5693,4.71,8,0,31348.63,0.65,0.01,0.34,,5.2,0.21,13702.39,6897.95,30.68,,,79,30,17648568,0.89,1496.843724
treatment company 6,-73.610001,11226,7764,5/1/2015,operator 4,2580,4272.9204,13.51,11,7611,32701.41,0.84,0.05,0.32,0.73,5.1,0.68,12522.33,7312.74,32.37,5772,,94,17,4259347,0.9,1316.216531
treatment company 14,-37.16,16219,6590,10/1/2018,operator 13,8954,,8.05,13,5756,29284,0.48,0.01,0.33,0.87,4.58,0.3,13668.41,6917.02,30.72,4696,,99,46,21424380,0.82,2037.068389
treatment company 8,-47.259998,14655,8117,7/1/2014,operator 26,6016,1470.1295,2.84,29,9834,32953.42,0.72,0.05,0.32,0.76,5.45,0.84,12872.01,7261.65,32.59,6148,,95,29,5416194,0.87,1398.30376
treatment company 16,-11.91,16383,7869,3/1/2015,operator 4,7023,1490.9745,24.31,2,3451,32707.33,0.06,0.02,0.34,,4.6,0.72,13182.41,6891.36,30.76,5670,,99,46,9256170,0.97,2908.514309
treatment company 1,-37.529999,20196,6080,4/1/2018,operator 11,13585,729.07648,10.36,8,0,34069.44,0.55,0.02,0.34,,,0.49,13390.83,6986.34,30.94,4285,,93,68,27052032,1.03,3222.742114
treatment company 10,-15.58,12348,6423,10/1/2017,operator 4,5675,,3.54,10,0,34786.71,0.42,0.01,0.33,0.86,4.74,0.45,13604.97,6962.41,30.84,2968,,97,29,12831735,1.38,2042.496357
treatment company 1,-19.389999,13223,8291,7/1/2012,operator 9,4469,769.72687,7.77,4,0,35097.13,0.46,0.02,0.33,,4.68,0.59,13210.48,7036.46,31.15,6020,,89,16,6048040,1.03,1076.296919
treatment company 2,-27.889999,13458,8515,7/1/2014,operator 6,4393,3945.2959,0.92,11,5635,34729.88,1.24,0.06,0.22,,4.06,0.64,11982.15,6803.58,27.41,4632,,73,33,7226253,1.38,3314.764496
treatment company 1,-57.639999,17375,6323,2/1/2016,operator 11,9667,2181.4292,1.62,7,3728,34578.14,0.59,0.02,0.34,0.86,4.91,0.43,13593.34,6961.68,30.84,4414,,69,50,9921711,0.87,2580.251597
treatment company 2,-27.25,11518,5896,1/1/2011,operator 2,5057,2258.4265,34.54,7,6268,33258.19,1.2,0.1,0.19,,6.25,0.51,12169.22,7032.23,28.12,,,83,14,5343497,1.26,842.4039314
treatment company 3,-11.4,15347,8197,3/1/2017,operator 1,6900,1126.9015,11.61,7,0,31019.83,0.45,,0.23,,2.15,0.62,12230.7,6808.21,28.37,6473,,81,33,13422051,1.35,4722.433226
treatment company 12,-13.25,16737,8438,7/1/2014,operator 9,7947,4235.3481,28.09,7,5471,35301.86,0.92,0.04,0.27,,4.79,0.5,11603.42,7047.79,31.19,6167,,91,40,10842092,1.11,1062.312909
treatment company 10,-36.02,10950,6608,1/1/2013,operator 11,4115,2423.0142,1.18,9,3730,33447.34,0.47,0.02,0.34,,4.64,0.57,13168.79,7058.84,31.22,4152,5889,69,20,9453762,1.28,708.3638655
treatment company 3,-24.879999,12960,6505,12/1/2014,operator 5,6122,3235.2813,5.79,5,5167,29717.74,1.38,0.06,0.34,,3.85,2,12255.35,6470.1,29.75,5153,,63,31,6960185,0.88,1161.579826
treatment company 1,-24.950001,16597,6856,2/1/2019,operator 5,9336,2244.0457,5.93,6,2369,34854.81,0.39,0.02,0.33,0.87,4.72,0.58,13268.2,7001.02,31.04,4135,6044,75,48,19119000,1.24,3244.755311
treatment company 15,-26.610001,15984,6932,1/1/2016,operator 5,8853,1376.3053,9.54,10,0,31107.9,1.23,0.05,0.34,0.47,3.95,1.83,12416.37,6501.78,29.79,,,69,45,10669600,0.9,2871.374868
treatment company 1,-50.259998,14782,6710,10/1/2016,operator 1,7100,,15.76,5,0,35143.87,0.44,0.02,0.33,0.81,4.66,0.59,13182.18,7040.94,31.17,4521,,100,35,13697880,1.32,4997.122748
treatment company 8,-63.279999,12104,5681,10/1/2015,operator 30,6081,,6.59,11,0,35192.75,0.5,0.02,0.33,,4.74,0.6,13275.54,7042.77,31.13,4762,,87,40,16096625,1.36,723.6048062
treatment company 4,-42.889999,12292,7807,10/1/2015,operator 4,3875,2338.4043,58.15,2,0,34773.26,0.14,,0.34,,4.66,0.73,13074.24,6963.44,31.02,5156,,100,27,6536646,0.93,1600.238608
treatment company 1,,15535,8567,1/1/2013,operator 20,6508,1549.3663,3.28,13,0,34897.14,0.94,0.06,0.3,0.42,5.22,0.71,12013.64,7079.6,32.06,5899,,78,11,5727665,1.56,1321.294977
treatment company 4,-17.450001,12832,8510,8/1/2018,operator 20,3826,1399.6965,0.32,8,5171,34544.07,0.91,0.05,0.29,,4.09,0.47,11736.59,7077.61,,,,89,21,,0.92,1281.104787
treatment company 12,-2.78,14070,7396,7/1/2014,operator 25,6424,,5.03,17,0,31449.6,1.47,0.05,0.21,0.43,5.18,0.64,11388.45,6795.22,26.68,4978,,89,28,,1.14,1779.634257
treatment company 4,-50.009998,12305,6668,2/1/2016,operator 4,4518,2421.7644,7.53,6,5217,34155.43,0.56,,0.33,,4.75,0.4,13457.7,6923.45,30.79,5005,,101,30,7514660,0.96,1219.930468
treatment company 12,,15729,6250,1/1/2019,operator 22,8666,,7.58,31,14656,34023.63,0.63,0.01,0.34,,4.93,0.45,13486.3,6960.06,30.88,4570,,100,43,,1.25,1623.718878
treatment company 6,-28.959999,10960,5519,7/1/2014,operator 1,5033,,36.57,17,1975,35192.75,0.43,0.01,0.34,,4.72,0.57,13599.66,6944.12,30.83,4018,6555,99,16,10284349,1.49,693.4133855
treatment company 5,-44,15776,7635,4/1/2016,operator 11,7554,2561.7913,23.3,7,6118,31247.1,0.62,,0.33,0.83,4.92,0.53,12639.81,7221.17,31.94,5414,,70,38,,0.82,2890.647698
treatment company 4,-22.379999,15456,6668,3/1/2019,operator 14,8456,1473.6665,5.53,22,9017,32806.41,0.31,0.01,0.33,,4.68,0.62,13456.54,6916.17,30.79,,6631,108,41,20602048,1.34,6842.650083
treatment company 10,-19.32,14364,6500,7/1/2012,operator 6,7278,1583.2308,151.25,3,1307,30944.75,0.94,0.06,0.2,0.87,4.49,0.63,11756.69,6801.72,26.32,4679,,86,11,7882512,1.32,768.8105398
treatment company 4,-21.969999,19053,8069,6/1/2018,operator 4,10410,1616.5686,15.54,7,65,35326.04,0.65,0.02,0.34,0.85,5.14,0.4,13591.62,6954.28,30.84,5734,9270,93,67,23460252,1.33,4373.409597
treatment company 25,-2.3,19512,6912,12/1/2017,operator 4,10660,3114.6458,14.42,13,0,34960.82,1.4,0.04,0.2,,5.17,0.64,12772.27,7061.81,29.35,5354,,92,32,12213729,1.03,1343.35029
treatment company 2,-24,14994,5993,6/1/2015,operator 7,8262,,2.63,9,4296,35103.54,0.26,0.02,0.26,0.82,4.68,0.61,13239.24,6958.72,30.94,4405,,91,44,11997084,1.12,1459.554207
treatment company 10,-53.419998,10398,6163,1/1/2014,operator 11,3561,1041.6877,5.03,5,2966,34191.98,0.43,0.02,0.33,0.87,4.68,0.58,13182.01,7011.47,31.09,4396,5908,70,17,8348598,1.16,428.423215
treatment company 2,-11.47,11842,5709,7/1/2011,operator 2,5725,2358.1936,8.21,19,8241,34887.02,0.61,0.03,0.2,,5.24,0.38,12598.6,6992.9,27.35,3382,,85,16,,0.55,1396.697062
treatment company 2,-45.150002,12264,6033,3/1/2015,operator 7,5740,,13.58,16,10283,34579.82,0.27,0.02,0.33,,4.66,0.61,13171.29,7015.34,31.11,4335,,94,28,,1.15,673.2994527
treatment company 11,16.629999,11420,7527,12/1/2014,operator 14,2679,1770.2747,232.07,1,711,31390.93,0.31,0.03,0.26,0.88,3.45,0.59,11099.15,6782.27,28.56,5840,,79,16,8006999,1.21,3263.410842
treatment company 10,-59.389999,13570,7155,12/1/2015,operator 4,5440,4966.5132,0.14,5,0,34776.92,0.89,0.01,0.33,0.96,4.37,0.63,12531.58,7470.22,32.87,4575,9394,94,19,,1.04,997.2374729
treatment company 16,-33.639999,16172,6864,9/1/2014,operator 13,9058,3784.8398,20.39,7,3356,31883.35,0.55,0.01,0.33,,5,0.46,13587.85,6968.79,30.87,4471,,89,29,16957420,1.13,1074.653136
treatment company 5,-46.57,12082,6412,5/1/2017,operator 11,5420,,34.75,6,0,35162.27,0.29,0.01,0.34,,,0.6,13275.93,6959.58,30.94,,,69,27,5324778,0.9,1098.721595
treatment company 9,-24.120001,12264,6716,3/1/2013,operator 14,5226,2885.4766,3.67,10,7519,33489.69,0.86,0.04,0.27,0.75,5.01,0.48,11617.26,6772.97,28.14,5287,,82,27,10424250,1.12,6370.282424
treatment company 11,-2.8199999,12850,7467,8/1/2015,operator 14,4577,,18.02,34,14540,34777.93,0.93,0.01,0.29,,3.69,0.5,11593.69,6767.96,29.25,5970,,80,25,9511643,1.06,1131.788645
treatment company 12,-31.82,13575,8282,7/1/2014,operator 25,4838,881.90057,1.78,7,4350,35207.9,1.36,0.09,0.21,,3.36,0.45,11634.62,6817.76,27.8,5355,,90,24,20169262,1.2,3147.658977
treatment company 30,-27.83,12624,6953,12/1/2013,operator 4,4862,1507.4965,296.36,1,4382,31824.6,0.43,0.01,0.33,,4.72,0.57,13599.66,6944.12,30.83,5071,,63,18,4383690,0.79,531.2036934
treatment company 2,-34.700001,12896,6068,10/1/2015,operator 7,6406,,303.04,1,5110,34914.63,0.47,0.02,0.33,,4.64,0.57,13160.76,7056.25,31.21,4397,,94,34,9147173,1.18,728.8275662
treatment company 2,-47.68,14388,6033,1/1/2016,operator 7,7609,3284.3848,26.71,17,8136,34777.93,0.44,0.02,0.34,0.87,4.68,0.59,13206.37,7037.54,31.15,4569,,96,39,10084494,1.01,305.0855348
treatment company 5,-51.27,12240,7598,2/1/2019,operator 11,4312,,9.75,10,7526,34210.47,0.45,,0.33,0.86,4.72,0.58,13283,7021.17,31.08,5323,,96,22,4336552,0.89,1840.381063
treatment company 8,-25.59,13747,7818,1/1/2014,operator 6,5585,2788.1948,16.47,6,158,31241.58,0.86,0.06,0.22,,3.19,0.46,11661.61,6808.81,27.96,5807,,97,22,8197274,1.34,2624.637942
treatment company 4,-32.990002,9900,6717,8/1/2016,operator 14,2733,1092.3148,17.99,19,9247,35133.95,0.86,0.04,0.27,0.76,5.04,0.48,11750.34,6772.9,28.04,5035,6085,82,12,4543721,1.04,1579.553457
treatment company 10,-59.25,17206,,11/1/2018,operator 11,10501,1451.0453,10.6,3,0,30766.58,0.41,0.01,0.33,0.85,4.74,0.45,13605.73,6963.16,30.84,4220,,84,53,,1.1,2261.292113
treatment company 8,-50.669998,12325,6764,10/1/2014,operator 4,5311,3291.6992,277.01,1,4321,32717.59,0.52,0.02,0.34,,3.9,0.67,12783.17,6695.99,30.2,4860,,80,19,7369410,1.1,749.401858
treatment company 1,-42.790001,17895,5729,10/1/2017,operator 13,11712,2685.574,2.5,5,0,33853.4,0.26,0.01,0.34,0.86,4.68,0.61,13255.15,6964.58,30.96,4527,5654,89,57,34280264,1.12,1784.946373
treatment company 9,-9.04,15165,6365,1/1/2019,operator 5,8130,4532.6094,3.8,4,4302,34013.21,0.57,0.01,0.33,0.83,4.87,0.43,13465.54,6951.16,30.86,3987,,76,41,16458000,1.2,2761.465506
treatment company 7,-31.68,13577,7561,5/1/2015,operator 6,5916,2708.6975,42.6,16,10354,33373.16,0.08,0.02,0.24,,3.64,0.63,11152.1,6789.84,28.12,5741,,96,26,14527511,1.47,7201.277888
treatment company 2,-45.419998,13180,7439,7/1/2013,operator 20,5712,749.13312,4.67,4,3457,29541.19,0.42,,0.33,,4.74,0.45,13604.97,6962.41,30.84,5074,,91,11,,1.94,954.5995484
treatment company 9,-3.7,16133,6552,7/1/2018,operator 5,8608,567.80035,8.85,15,8618,35216.37,1.25,0.05,0.34,,3.68,1.72,12467.47,6576.42,29.97,3910,5936,75,43,17321212,1.13,2543.457079
treatment company 10,-35.849998,13856,7674,5/1/2016,operator 4,5916,3438.9258,37.17,36,14645,34899.41,0.33,0.03,0.33,,4.64,0.63,13000.53,7048.02,31.28,5612,,101,39,9741147,1.03,2601.425383
treatment company 3,-23.049999,15551,6762,3/1/2017,operator 5,8328,2739.9282,71.57,4,6041,30912.55,1.3,0.06,0.34,,3.9,1.91,12345.68,6488.7,29.77,4346,,75,42,,1.1,3460.418014
treatment company 5,-4.48,15652,6706,4/1/2018,operator 5,8696,,9.62,14,6972,32819.55,1.35,0.06,0.34,0.5,3.86,1.96,12301.09,6481.84,29.77,4229,6258,73,42,21261340,1.2,2046.433338
treatment company 13,-14.77,11398,7127,7/1/2013,operator 24,4189,,0.86,2,0,34714.74,0.42,0.01,0.33,,4.74,0.51,13602.6,6939.74,30.82,3725,,70,18,3951120,1.12,483.1472361
treatment company 12,-30.77,13913,7421,4/1/2018,operator 25,5831,2130.0002,18.29,28,12231,32751.38,1.49,,0.24,,4.07,0.43,12230.4,6843.21,28.25,5018,8814,95,26,11516856,1.34,1709.58064
treatment company 2,-24.469999,15170,5719,2/1/2015,operator 2,9009,,1.22,18,0,35056.46,0.28,0.01,0.33,,4.68,0.6,13281.18,6956.75,30.93,4142,8334,108,25,14971150,2.05,1555.471675
treatment company 1,-30.09,10491,5784,1/1/2011,operator 36,4257,2029.8225,7.23,14,7167,32982.52,0.43,0.02,0.34,0.87,4.68,0.59,13202.61,7034.19,31.14,4079,,80,20,,1.12,489.7347089
treatment company 5,-17.209999,12786,7624,2/1/2019,operator 11,3754,,2.16,4,2674,33885.21,0.28,0.02,0.33,0.8,4.67,0.62,13186.82,7008.4,31.09,5159,,96,20,3914280,0.86,1515.774713
treatment company 8,-28.23,11072,4935,7/1/2012,operator 6,5691,3287.748,6.15,9,5893,34669.05,0.61,0.01,0.33,,4.91,0.44,13481.45,6949.85,30.85,2708,,75,12,2886000,0.94,436.4781723
treatment company 19,-26.91,17150,8261,1/1/2014,operator 20,7717,4057.7839,7.93,5,3311,34711.83,0.47,,0.34,,4.66,0.58,13184.96,7049.93,31.19,4927,,91,19,,1.51,1839.364313
treatment company 11,-21.07,12945,6839,3/1/2016,operator 14,5599,1816.1163,70.67,5,5046,33522.77,1.24,0.05,0.32,,4.43,0.47,12847.74,6755.76,29.32,5410,7890,79,28,10648689,1.04,2118.991873
treatment company 3,-34.27,14280,6658,3/1/2016,operator 5,7213,1527.0956,7.86,6,0,34744.92,1.42,0.06,0.34,,3.84,2.05,12181.59,6449.16,29.72,4708,5373,71,36,8491580,0.88,1848.18196
treatment company 2,,16279,8629,7/1/2014,operator 20,7093,682.06403,2.55,2,2796,34715.37,0.28,0.03,0.25,,4.53,0.63,11867,7100.35,31.04,6130,,91,18,6848501,1.58,978.2579784
treatment company 3,-34.540001,14741,6403,7/1/2016,operator 5,7949,995.26172,0.83,8,0,35326.04,0.05,0.02,0.34,0.88,4.66,0.67,13160.78,6912.23,30.8,4481,,74,40,11983442,0.89,2382.578611
treatment company 4,-50.91,12245,6399,7/1/2013,operator 1,5323,,7.31,19,8855,34887.07,0.48,0.01,0.21,0.85,4.22,0.57,12780.76,6795.45,25.93,4613,6947,80,20,6729203,1.57,826.9926764
treatment company 12,-63.349998,11212,7586,7/1/2013,operator 26,2857,1810.1858,16.63,8,1443,30950.78,0.27,0.03,0.33,0.9,4.71,0.72,12883.52,7050.53,31.38,,8846,97,11,3474908,0.93,960.3526529
treatment company 12,-33.84,14980,8499,1/1/2013,operator 9,6161,1467.7083,9.27,17,6877,34564.35,0.96,0.06,0.29,0.25,4.29,0.64,11829.51,7085.67,31.9,6541,,90,22,8624770,1.22,1701.639837
treatment company 5,-17.049999,12610,6966,1/1/2014,operator 24,5066,1018.7684,27.21,7,5088,30838.42,0.26,0.02,0.33,,4.68,0.61,13239.24,6958.72,30.94,4353,,80,15,5213466,1.33,1312.629314
treatment company 1,-38.669998,16787,6900,5/1/2015,operator 13,9416,763.09772,120.11,5,3851,34614.13,0.62,0.02,0.33,,5.14,0.42,13594.43,6957.8,30.84,4507,,77,35,14740705,0.75,1760.215256
treatment company 4,-37.700001,13232,6721,8/1/2016,operator 14,6261,1113.9095,0.28,17,7139,34022.14,0.87,0.04,0.27,,5.01,0.47,11626.51,6772.64,28.15,4981,6921,82,31,11810552,1.04,3781.414029
treatment company 12,-9.8800001,14013,8716,1/1/2014,operator 9,5099,2251.4021,11.93,19,8923,34993.51,0.92,0.05,0.29,,4.66,0.5,11731.58,7070.37,31.78,6237,,85,27,6121374,0.99,854.2890812
treatment company 12,-41.439999,13685,5715,7/1/2014,operator 22,7759,2947.9893,69.52,6,1813,34594.03,0.05,0.02,0.34,0.86,4.72,0.6,13166.48,6909.48,30.79,4212,,97,40,17536986,1.22,1221.419601
treatment company 5,-34.939999,12090,7758,7/1/2013,operator 8,3608,738.28223,11.81,3,2211,27301.18,0.52,0.01,0.34,,4.74,0.41,13445.33,6920.13,30.79,5638,8893,83,13,3268319,1.06,375.6446135
treatment company 16,-18.92,15622,6557,9/1/2014,operator 8,8651,737.64606,256.87,1,0,34614.25,1.23,0.05,0.34,0.54,3.77,1.81,12455.73,6546.06,29.9,4774,,89,57,14168515,0.93,1462.850856
treatment company 9,-58.240002,12210,6971,8/1/2014,operator 14,4061,1094.1536,266.91,1,0,30405.65,0.87,0.03,0.27,0.73,4.97,0.48,11507.7,6772.74,28.26,5029,,82,22,8370068,1.09,3531.668211
treatment company 15,-30.98,15552,7682,6/1/2016,operator 4,7378,699.1449,8.6,6,4936,31220.69,0.87,0.05,0.34,0.5,3.86,1.05,12969.57,6597.97,29.94,5498,8913,95,49,9947400,0.89,1933.40072
treatment company 10,-37.450001,9652,6282,7/1/2012,operator 11,3050,2405.0974,9.75,10,0,35072.44,0.36,0.02,0.33,,4.79,0.48,13243.15,7165.6,31.39,3687,6085,69,10,3031008,0.98,188.0274541
treatment company 9,-26.299999,13580,6002,1/1/2014,operator 17,6660,,20.67,6,456,30606.71,0.85,0.08,0.26,,5.14,0.42,13794.82,6774.14,26.86,3714,,77,28,7643137,1.11,76.10724599
treatment company 1,-33.73,15034,6472,7/1/2017,operator 5,8109,,45.29,4,3962,29410.54,1.21,0.05,0.34,,3.71,1.72,12484.77,6574.81,29.96,3435,,77,41,14440718,1.09,2708.965448
treatment company 11,-36.27,11886,7118,5/1/2015,operator 14,4127,2124.6909,4.11,5,1357,30837.96,1,0.02,0.28,0.69,4.68,0.47,11558.58,6768.67,28.71,,7710,80,21,7986480,1.06,2991.754154
treatment company 8,-50.16,13072,6555,1/1/2014,operator 1,5636,2381.4475,119.48,3,0,35097.13,0.37,0.02,0.33,,4.86,0.6,13414.16,7072.68,31.14,4351,,80,22,10848791,1.4,990.7666186
treatment company 1,-27.129999,14946,7995,1/1/2012,operator 20,6599,1003.5295,5.86,12,0,34559,0.63,0.01,0.34,,4.93,0.45,13486.3,6960.06,,,,96,12,5987196,1.57,978.8800292
treatment company 12,-3.76,14561,7946,11/1/2017,operator 4,6365,749.42029,17.19,8,1846,27140.45,0.06,,0.34,0.92,4.72,0.85,12946.19,6903.7,30.88,5671,,99,30,12986432,1.45,1579.513103
treatment company 12,-15.66,15712,7454,10/1/2016,operator 25,7323,,21.21,5,4794,34733.24,1.56,0.02,0.25,1.02,3.95,0.51,11991.69,6856.78,28.39,4218,,86,32,,1.21,2444.702023
treatment company 8,-37.380001,14450,8150,7/1/2014,operator 26,5185,2318.845,1.15,21,8963,32846.52,0.72,0.05,0.32,0.76,5.47,0.84,12875.51,7264.41,32.6,6172,9344,91,25,4657495,0.87,1175.673001
treatment company 8,-74.879997,12031,8027,6/1/2015,operator 26,3252,4733.0356,54.54,7,4384,27957.49,1.03,0.06,0.32,0.65,5.48,0.82,12733.14,7346.02,32.73,6305,,96,14,5115583,0.98,1399.95014
treatment company 16,-79.440002,9964,5049,1/1/2014,operator 22,4665,2020.4347,12.04,3,0,34775.43,0.47,0.02,0.33,,4.68,0.59,13214.46,7040.7,,4575,,89,28,6980582,0.93,529.2468239
treatment company 11,-25.41,12965,7362,9/1/2016,operator 14,5298.98,2968.9453,2.97,10,6059,33342.36,1.1,0.02,0.3,0.7,4.23,0.47,11959.37,6763.19,29.19,5270,,81,29,11024226,1.07,3836.217514
treatment company 1,-30.950001,16050,8533,1/1/2013,operator 20,7054,3079.3838,3.39,11,6895,34551.73,0.93,0.06,0.3,,5.3,0.73,12049.03,7080.03,32.08,5775,,79,12,6243376,1.44,1492.506663
treatment company 5,-51.639999,11764,7426,7/1/2014,operator 18,4141,1936.0566,16.05,7,0,34551.73,0.42,0.02,0.33,0.82,4.69,0.59,13223.66,7019.84,31.1,5345,,99,28,5599189,1.09,300.6323137
treatment company 5,-58.119999,13082,6041,1/1/2018,operator 11,5622,2621.8369,0.62,6,167,34661.95,0.05,0.02,0.33,0.8,4.72,0.6,13166.48,6909.48,30.79,4429,,44,76,7871776,0.79,1107.802529
treatment company 10,-15.92,14960,6920,11/1/2015,operator 11,7680,4945.1318,125.35,1,149,29899.71,0.64,0.04,0.33,,4.59,0.48,13110.02,7145.74,31.42,4074,6117,69,38,11043750,0.91,2090.496246
treatment company 9,-10.74,17045,7130,10/1/2018,operator 6,9665,1209.8624,7.94,10,5568,34324.66,0.27,0.02,0.34,0.81,4.66,0.61,13171.29,7015.34,31.11,5717,,91,37,,1.73,6189.762211
treatment company 12,-31.59,11940,6614,7/1/2014,operator 25,4337,1180.9022,9.86,9,0,34538.81,0.63,0.02,0.34,,5.15,0.4,13588.36,6953.62,30.83,4725,,89,26,17665878,1.53,1447.114461
treatment company 10,-37.66,11443,6462,1/1/2014,operator 11,4773,988.9671,3.58,23,15422,33640.87,0.59,0.02,0.34,,5.06,0.45,13491.08,6981.19,30.93,4082,,70,23,9086772,1.13,948.2813596
treatment company 31,-75.510002,13510,6447,7/1/2016,operator 11,5338,,1.46,10,6402,33876.27,0.17,0.03,0.34,0.86,4.46,0.47,13336.26,6854.63,30.61,4076,,70,27,8001909,1.27,1255.831073
treatment company 3,-13.71,12961,6654,7/1/2015,operator 1,5661,1892.1012,11.53,10,0,30762.72,0.35,0.02,0.33,0.83,4.85,0.58,13382.54,7090.88,31.19,4271,,51,36,10369712,1.47,854.7788173
treatment company 4,-38.279999,12959,6018,6/1/2018,operator 7,6471,1800.6097,20.79,7,3177,34751,0.3,0.02,0.33,0.86,4.69,0.6,13245.47,6971.51,30.97,4095,5484,95,32,9527710,1.14,952.7241845
treatment company 12,-19.1,11924,7700,12/1/2017,operator 25,3974,,1.27,5,5399,33177.59,1.31,0.08,0.21,0.8,3.57,0.46,11459.84,6814.66,27.74,5760,,90,24,9330840,1.39,2983.253152
treatment company 26,-61.919998,10981,6977,7/1/2013,operator 14,3141,1477.1353,1.02,6,0,34732.74,0.14,0.02,0.24,0.96,4.97,0.57,11538.91,6784.7,27.78,5223,,82,18,6742170,1.1,2053.494899
treatment company 10,-65.279999,11553,6059,7/1/2014,operator 11,5244,760.95734,29.71,5,3931,33501.47,0.26,,0.25,0.86,4.68,0.62,13263.35,6960.29,30.94,4398,,70,22,9768000,1.12,673.0435756
treatment company 3,-25.690001,13578,7071,12/1/2014,operator 5,6182,1543.8182,541.93,1,0,35294.72,1.3,0.06,0.34,,4.25,1.82,12192.61,6419.17,29.61,5405,6107,67,31,7206365,0.88,1904.445152
treatment company 11,-41.860001,13876,7517,8/1/2015,operator 14,6006,1997.9796,9.61,23,8300,34298.43,0.94,0.01,0.3,,3.57,0.5,11647.04,6767.33,29.32,5903,,81,33,12553369,1.06,1151.148006
treatment company 4,-49.529999,11636,6687,7/1/2014,operator 1,4309,1429.2693,3.46,24,12978,34570.38,1.1,0.04,0.29,0.69,4.92,0.44,12132.13,6765.26,28.39,5130,,101,13,7630480,1.42,2494.370672
treatment company 3,-38.73,13034,6560,12/1/2014,operator 5,6040,3193.8618,10.78,14,10195,34610.82,1.37,0.06,0.34,,3.85,1.99,12258.76,6470.5,29.75,5244,,64,30,6803954,0.88,1220.3438
treatment company 2,-17.23,18951,8067,6/1/2015,operator 6,10723,3962.2722,88.79,5,4951,29690.68,0.98,0.07,0.21,0.84,3.18,0.46,11672.67,6811.09,27.94,5767,,86,46,18656034,1.34,4249.626765
treatment company 31,-56,11504,6392,7/1/2016,operator 11,4751,2619.8801,118.76,9,0,35351.96,0.26,0.03,0.34,,4.45,0.42,13372.45,6851.71,30.59,3940,,70,24,,1.21,1078.245293
treatment company 4,-50.57,10940,6377,7/1/2012,operator 1,4052,725.37567,42.5,19,0,34546.34,0.79,,0.2,0.73,4.65,0.5,12608.09,6799.58,26.46,4321,,99,10,3713151,0.8,1502.409957
treatment company 12,-55.360001,17074,8105,9/1/2018,operator 4,8150,2196.4038,16.45,13,6099,34037.86,0.3,0.05,0.34,,4.39,0.76,13112.46,6787.96,30.42,5975,,99,42,18749010,1.44,1721.096542
treatment company 8,-32.23,13650,6405,6/1/2013,operator 1,7057,4949.5679,86.43,2,4475,34538.02,0.23,0.01,0.33,,4.83,0.54,13525.97,7021.22,30.98,4647,,80,17,6827940,1.27,711.6942941
treatment company 1,-44.799999,14961,6429,11/1/2017,operator 5,7810,,4.51,14,6276,29353.06,0.5,0.02,0.33,0.82,4.83,0.56,13280.73,7014.03,31.04,3553,,73,39,15585530,1.14,1809.871286
treatment company 10,-12.71,12696,6459,7/1/2013,operator 11,4978,4504.291,1.39,14,9183,29650.73,0.65,0.02,0.34,0.86,5.14,0.4,13591.62,6954.28,30.84,4146,,70,24,9512665,1.11,1004.918306
